SuperUserName,CustID,"GROUP_CONCAT(CategorySports SEPARATOR ', ')"
AG,28675163,"Normal Member(Soccer, Parlay)"
AG,28675217,NULL
AG,28675252,"High Risk Punter(Non-Sports)"
AG,28675289,"Normal Member(Basketball, Other-Sports, Non-Sports, Parlay), VIP(Soccer)"
AG,28675293,"VIP(Soccer, Non-Sports)"
AG,28675302,"Normal Member(E-Sports), VIP(Soccer, Basketball, Other-Sports)"
AG,28675347,"Normal Member(Other-Sports, Non-Sports, Parlay), VIP(Soccer, Basketball)"
AG,28675353,"Normal Member(Soccer, Basketball, Other-Sports, Parlay)"
AG,28675361,"Normal Member(Soccer, Other-Sports, Non-Sports), VIP(Basketball)"
AG,28675461,"Normal Member(Basketball), VIP(Soccer)"
AG,28675518,"Normal Member(Soccer, Parlay), High Risk Punter(Basketball, Non-Sports)"
AG,28675629,VIP(Soccer)
AG,28675699,"High Risk Punter(Other-Sports, Non-Sports)"
AG,28675715,"Normal Member(Soccer, Non-Sports, Parlay)"
AG,28675795,"VIP(Basketball, Other-Sports)"
AG,28675822,"Normal Member(Other-Sports), VIP(Soccer), Smart Punter(Non-Sports)"
AG,28675833,"High Risk Punter(Parlay)"
AG,28675982,"Normal Member(Non-Sports), High Risk Punter(Soccer)"
AG,28676048,VIP(Soccer)
AG,28676053,"Normal Member(Soccer, Non-Sports), High Risk Punter(Basketball)"
AG,28676071,VIP(Soccer)
AG,28676077,"High Risk Punter(Basketball)"
AG,28676093,"Normal Member(Soccer, Non-Sports, Parlay)"
AG,28676180,"Normal Member(Soccer, Parlay)"
AG,28676183,"Normal Member(Soccer, Non-Sports, Parlay)"
AG,28676191,"Normal Member(Non-Sports), High Risk Punter(Basketball)"
AG,28676194,NULL
AG,28676272,NULL
AG,28676300,"Normal Member(Parlay), High Risk Punter(Soccer)"
AG,28676342,"Normal Member(Basketball)"
AG,28676345,"Normal Member(Soccer, Non-Sports)"
AG,28676353,"Normal Member(Other-Sports)"
AG,28676359,"Normal Member(Soccer, Basketball)"
AG,28676366,"Normal Member(Soccer, Non-Sports)"
AG,28676415,NULL
AG,28676473,"Normal Member(Other-Sports, Parlay), VIP(Soccer, Basketball, Non-Sports)"
AG,28676493,"High Risk Punter(Soccer)"
AG,28676959,"Normal Member(Basketball, Other-Sports), High Risk Punter(Soccer, Non-Sports)"
AG,28812109,"Normal Member(Other-Sports, Non-Sports), VIP(Soccer, Basketball, E-Sports), High Risk Punter(Parlay)"
AG,28827910,"High Risk Punter(Parlay)"
AG,29071667,VIP(Non-Sports)
AG,29118290,"Normal Member(Non-Sports, Parlay), VIP(Soccer)"
AG,29875402,VIP(Soccer)
AG,30097798,VIP(Soccer)
AG,30321722,"Normal Member(Basketball), High Risk Punter(Soccer)"
AG,30321840,VIP(Basketball)
AG,30360280,VIP(Soccer)
AG,30660655,VIP(Soccer)
AG,30720780,VIP(Soccer)
AG,31477529,VIP(Non-Sports)
AG,31848300,"High Risk Punter(Other-Sports)"
AG,31862242,"High Risk Punter(E-Sports)"
AG,32009137,"VIP(Soccer, Basketball, Other-Sports)"
AG,32043839,"Normal Member(Soccer)"
AG,32199738,"High Risk Punter(Other-Sports, Parlay)"
AG,32386856,"VIP(Soccer, Other-Sports)"
AG,32433843,"VIP(Soccer, Non-Sports)"
AG,32436096,"Normal Member(Soccer, E-Sports, Non-Sports)"
AG,32441920,"High Risk Punter(Non-Sports)"
AG,32584741,"Normal Member(Soccer, Parlay)"
AG,32681943,"High Risk Punter(Soccer)"
AG,32681948,"Normal Member(Soccer)"
AG,32681953,VIP(Non-Sports)
AG,32719261,"Normal Member(Soccer)"
AG,32829720,NULL
AG,32903088,"Normal Member(Soccer, Basketball, Other-Sports)"
AG,32903121,VIP(Soccer)
AG,32935700,"Normal Member(Soccer, Other-Sports), High Risk Punter(Parlay)"
AG,32980093,"Normal Member(Basketball), VIP(Soccer)"
AG,33018865,"VIP(Soccer), High Risk Punter(Non-Sports)"
AG,33018906,"VIP(Soccer, Basketball)"
AG,33045776,"VIP(Soccer, Basketball)"
AG,33063943,"VIP(Soccer, Non-Sports)"
